丰田MPV的传承与变迁		丰田MPV的鼻祖,1990年PREVIA诞生;\n1995年格瑞维亚GRANVIA诞生;\n2002年ALPHARD诞生;
一汽丰田MPV车型销售历史		从进口版PREVIA普瑞维亚，到进口版CROWN VELLFIRE皇冠威尔法
全新格瑞维亚GRANVIA车型溯源		基于北美规格丰田SIENNA XSE版本打造，累计295万销量，年销量超10万台，位居美国畅销MPV前五名
全新格瑞维亚GRANVIA车型历史		25年历史，4代更迭，持续满足不断升级的消费需求；
格瑞维亚GRANVIA市场表现		第一代车型（1997-2003年）亮相之初，即夺MPV销量冠军；\n第二代车型（2003-2009年）IIHS碰撞测试中， 六项获得好评；\n第三代车型（2009-2020年）用户口中的超级“奶爸神车”；\n第四代车型(2020年-今)造型“最不像MPV” 的MPV
全新格瑞维亚GRANVIA车名释义		格，代表“格局、格调”；以“格”字为点睛之笔，不仅象 征阔达广博、志在高远的人生 格局，更代表自成一派，有品 有型的生活格调；\n格瑞维亚， 代表着其 将以高品质、高定位、高 价值的优势， 满足中高端 MPV市场用户的需求， 为 用户带来格调非凡的美好 生活；
全新格瑞维亚GRANVIA车型定义		全场景 新主流 MPV
全新格瑞维亚GRANVIA市场定位		高级商务、传统沉稳、动感活力、务实家用
全新格瑞维亚GRANVIA商品亮点		1、自信外观，彰显硬实力，颠覆传统MPV的外形认知， 打造革新外观；\n 2、奢适空间，展望大格局 宽敞车内空间与极致舒适 座椅，贴心关爱从容安放；\n3、澎湃性能，激发超能量 TNGA架构打造、顶级水平 的油耗表现和动力性能；\n4、智能科技，布局新蓝图 为乘员打造轻松便捷的科 技豪华体验；\n5、全面防护，倾力保出行 丰富的安全配置，为乘员打造坚实可靠的安全守护； \n6、福祉车型，心系全社会 让更多消费者能够出行无 忧，让“爱不缺席”
格瑞维亚GRANVIA整体开发理念		自信强大活力动感，突破传统的MPV外观
